Player,Tm,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
Glenn Robinson\robingl02,IND,1524305,,,,,,,
Johnny O'Bryant\obryajo01,CHO,1524305,,,,,,,
Bobby Portis\portibo01,CHI,1516320,2494346,,,,,1st Round pick,1516320
Malachi Richardson\richama01,SAC,1504560,1569360,2581597,,,,1st Round pick,1504560
Arron Afflalo\afflaar01,SAC,1500000,,,,,,,1500000
Chris McCullough\mcculch01,WAS,1471382,2243326,,,,,1st Round pick,1471382
Norman Powell\powelno01,TOR,1471382,,,,,,Cap Space,1471382
Josh Huestis\huestjo01,OKC,1471382,2243326,,,,,,1471382
Tyus Jones\jonesty01,MIN,1471382,2444053,,,,,1st Round pick,1471382
Josh Richardson\richajo01,MIA,1471382,,,,,,Minimum Salary,1471382
Jarell Martin\martija01,MEM,1471382,2416222,,,,,1st Round pick,1471382
Larry Nance Jr.\nancela02,LAL,1471382,2272391,,,,,1st Round pick,1471382
Montrezl Harrell\harremo01,LAC,1471382,,,,,,,1471382
Joe Young\youngjo01,IND,1471382,1600520,,,,,Cap Space,1471382
Kevon Looney\looneke01,GSW,1471382,2227081,,,,,1st Round pick,1471382
Salah Mejri\mejrisa01,DAL,1471382,,,,,,Minimum Salary,1471382
Rondae Hollis-Jefferson\holliro01,BRK,1471382,2470357,,,,,1st Round pick,1471382
Raul Neto\netora01,UTA,1471382,,,,,,,
Pat Connaughton\connapa01,POR,1471382,,,,,,,
Richaun Holmes\holmeri01,PHI,1471382,1600520,,,,,,
T.J. McConnell\mccontj01,PHI,1471382,1600520,,,,,,
Edy Tavares\tavarwa01,CLE,1471382,1600520,,,,,,
Briante Weber\weberbr01,CHO,1471382,,,,,,,
Caleb Swanigan\swanica01,POR,1465920,1740000,2033160,3665787,,,1st Round Pick,3205920
Furkan Korkmaz\korkmfu01,PHI,1465920,1740000,2033160,3665787,,,1st Round Pick,3205920
Willy Hernangomez\hernawi01,NYK,1435750,1544951,1701735,,,,Cap Space,2980701
Kyle Kuzma\kuzmaky01,LAL,1423560,1689840,1974600,3562178,,,1st Round Pick,3113400
Nikola Jokic\jokicni01,DEN,1417000,1475500,,,,,,1417000
Tony Bradley\bradlto01,UTA,1414920,1679520,1962360,3542060,,,1st Round Pick,3094440
Derrick White\whitede01,SAS,1404600,1667160,1948080,3516284,,,1st Round Pick,3071760
Josh Hart\hartjo01,LAL,1394520,1655160,1934160,3491159,,,1st Round Pick,3049680
Timothe Luwawu-Cabarrot\luwawti01,PHI,1386600,1544951,2529684,,,,1st Round pick,1386600
Kevin Martin\martike02,MIN,1360305,1360305,,,,,,2720610
Brice Johnson\johnsbr02,LAC,1331160,1544951,2500725,,,,1st Round pick,1331160
A.J. Hammons\hammoaj01,MIA,1312611,1544951,,,,,Cap Space,2857562
Deyonta Davis\davisde01,MEM,1312611,1544951,,,,,Cap Space,2857562
Chinanu Onuaku\onuakch01,HOU,1312611,1544951,,,,,Minimum Salary,2857562
Wayne Selden\seldewa01,MEM,1312611,1544951,,,,,,2085087
Cheick Diallo\diallch01,NOP,1312611,1544951,,,,,Minimum Salary,1812611
Joel Bolomboy\bolomjo01,UTA,1312611,1544951,,,,,Cap Space,1312611
Pascal Siakam\siakapa01,TOR,1312611,1544951,2351839,,,,1st Round pick,1312611
Dejounte Murray\murrade01,SAS,1312611,1544951,2321735,,,,1st Round pick,1312611
Davis Bertans\bertada01,SAS,1312611,,,,,,Minimum Salary,1312611
Skal Labissiere\labissk01,SAC,1312611,1544951,2338847,,,,1st Round pick,1312611
Jake Layman\laymaja01,POR,1312611,1544951,,,,,Cap Space,1312611
Tyler Ulis\ulisty01,PHO,1312611,1544951,1676735,,,,Cap Space,1312611
Semaj Christon\chrisse01,OKC,1312611,1544951,,,,,Minimum Salary,1312611
Malcolm Brogdon\brogdma01,MIL,1312611,1544951,,,,,Cap Space,1312611
Andrew Harrison\harrian01,MEM,1312611,1544951,,,,,Cap Space,1312611
Ivica Zubac\zubaciv01,LAL,1312611,1544951,,,,,Cap Space,1312611
Damian Jones\jonesda03,GSW,1312611,1544951,2305057,,,,1st Round pick,1312611
Patrick McCaw\mccawpa01,GSW,1312611,,,,,,Minimum Salary,1312611
Yogi Ferrell\ferreyo01,DAL,1312611,,,,,,Minimum Salary,1312611
Paul Zipser\zipsepa01,CHI,1312611,1544951,1676735,,,,Cap Space,1312611
Isaiah Whitehead\whiteis01,BRK,1312611,1544951,1676735,,,,Cap Space,1312611
Diamond Stone\stonedi01,ATL,1312611,,,,,,Minimum Salary,1312611
Nicolas Brussino\brussni01,ATL,1312611,1544951,,,,,Minimum Salary,1312611
Kay Felder\feldeka01,CLE,1312611,1544951,,,,,Minimum Salary,456529
Okaro White\whiteok01,MIA,1312611,,,,,,Minimum Salary,226312
Daniel Ochefu\ochefda01,WAS,1312611,1544951,,,,,Cap Space,50000
Sheldon McClellan\mcclesh01,WAS,1312611,,,,,,Minimum Salary,50000
Quinn Cook\cookqu01,NOP,1312611,,,,,,,50000
Fred VanVleet\vanvlfr01,TOR,1312611,,,,,,,
Bryn Forbes\forbebr01,SAS,1312611,,,,,,,
Derrick Jones\jonesde02,PHO,1312611,1544951,,,,,,
Patricio Garino\garinpa01,ORL,1312611,,,,,,,
Marcus Georges-Hunt\georgma01,ORL,1312611,,,,,,,
Chasson Randle\randlch01,NYK,1312611,,,,,,,
Gary Payton\paytoga02,MIL,1312611,,,,,,,
Rodney McGruder\mcgruro01,MIA,1312611,1544951,,,,,,
Shawn Long\longsh01,HOU,1312611,1544951,,,,,,
Isaiah Taylor\taylois01,HOU,1312611,1544951,,,,,,
Jarrod Uthoff\uthofja01,HOU,1312611,,,,,,,
Tim Quarterman\quartti01,HOU,1312611,,,,,,,
Dorian Finney-Smith\finnedo01,DAL,1312611,1544951,,,,,,
Treveon Graham\grahatr01,CHO,1312611,,,,,,,
David Nwaba\nwabada01,CHI,1312611,,,,,,,
Semi Ojeleye\ojelese01,BOS,1291892,1378242,1618520,1752950,,,,2193857
Frank Mason\masonfr01,SAC,1184385,1378242,1618520,,,,,2562627
Abdel Nader\naderab01,BOS,1167333,1378242,1618520,1752950,,,,1617333
Paul Pierce\piercpa01,LAC,1096080,,,,,,,1096080
Livio Jean-Charles\jeancli01,SAS,1035200,,,,,,,1035200
Gerald Henderson\hendege02,PHI,1000000,,,,,,,1000000
Rade Zagorac\zagorra01,MEM,950000,1378242,1618520,,,,MLE,2328242
Jason Thompson\thompja02,GSW,945126,945126,,,,,,1890252
Martell Webster\webstma02,WAS,830000,830000,,,,,,1660000
Frank Jackson\jacksfr01,NOP,815615,1378242,1618520,,,,MLE,2699857
Jordan Bell\belljo01,GSW,815615,1378252,,,,,Minimum Salary,2193867
Dakari Johnson\johnsda04,OKC,815615,1378242,,,,,,2193857
Sterling Brown\brownst02,MIL,815615,1378242,1618520,,,,MLE,2193857
Dillon Brooks\brookdi01,MEM,815615,1378242,1618520,,,,,2193857
Jawun Evans\evansja01,LAC,815615,1378242,,,,,MLE,2193857
Dwayne Bacon\bacondw01,CHO,815615,1378242,1618520,,,,MLE,2193857
Tyler Dorsey\dorsety01,ATL,815615,1378242,,,,,Minimum Salary,2193857
Davon Reed\reedda01,PHO,815615,1378242,1618520,,,,Minimum Salary,1504736
Wesley Iwundu\iwundwe01,ORL,815615,1378242,1618520,,,,,815615
Tyler Ennis\ennisty01,LAL,815615,1378242,,,,,Minimum Salary,815615
Troy Williams\willitr02,HOU,815615,1378242,1618520,,,,Non-Bird Rights,815615
Maxi Kleber\klebima01,DAL,815615,1378242,,,,,Minimum Salary,815615
Daniel Theis\theisda01,BOS,815615,1378242,,,,,Minimum Salary,815615
Cameron Oliver\oliveca01,HOU,815615,1378242,,,,,Minimum Salary,300000
Brandon Paul\paulbr01,SAS,815615,,,,,,,
Matt Williams\willima05,MIA,815615,,,,,,,
Jeremy Morgan\morgaje01,MEM,815615,,,,,,,
Ike Anigbogu\anigbik01,IND,815615,,,,,,,
Landry Nnoko\nnokola01,DET,815615,,,,,,,
Carlos Delfino\delfica01,LAC,650000,650000,,,,,,1300000
Caron Butler\butleca01,SAC,517220,517220,,,,,,1034440
Jordan Farmar\farmajo01,LAC,510921,,,,,,,510921
Leandro Barbosa\barbole01,PHO,500000,,,,,,,500000
Tibor Pleiss\pleisti01,PHI,500000,,,,,,,500000
Michael Gbinije\gbinimi01,DET,500000,,,,,,,500000
Aaron Gray\grayaa01,DET,452059,,,,,,,452059
Festus Ezeli\ezelife01,POR,333334,333333,333333,,,,,1000000
C.J. Watson\watsocj01,ORL,333334,333333,333333,,,,,1000000
Gal Mekel\mekelga01,DAL,315760,,,,,,,315760
Miroslav Raduljica\radulmi01,LAC,300000,300000,,,,,,600000
Isaiah Canaan\canaais01,CHI,200000,,,,,,,200000
Marshall Plumlee\plumlma02,NYK,100000,,,,,,,100000
Georges Niang\niangge01,IND,100000,,,,,,,100000
Demetrius Jackson\jacksde01,BOS,92858,92857,92857,92857,92857,,,650000
Rakeem Christmas\chrisra01,IND,50000,,,,,,,50000
Axel Toupane\toupaax01,NOP,25000,,,,,,,25000
