Player,Tm,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
DeMarre Carroll\carrode01,BRK,14800000,15400000,,,,,Cap Space,30200000
Thaddeus Young\youngth01,IND,14796348,13764045,,,,,Bird Rights,14796348
Eric Bledsoe\bledser01,PHO,14500000,15000000,,,,,Bird Rights,29500000
Jamal Crawford\crawfja01,ATL,14264988,3000000,,,,,,17264988
Ricky Rubio\rubiori01,UTA,14250000,14950000,,,,,1st Round Pick,29200000
Gorgui Dieng\dienggo01,MIN,14112360,15170787,16229213,17287640,,,1st Round Pick,62800000
Khris Middleton\middlkh01,MIL,14100000,13000000,13000000,,,,Bird Rights,27100000
Taj Gibson\gibsota01,MIN,14000000,14000000,,,,,Cap space,28000000
James Johnson\johnsja01,MIA,13954000,14651700,15349400,,,,Cap space,43955100
Robin Lopez\lopezro01,CHI,13788500,14357750,,,,,Cap Space,28146250
J.R. Smith\smithjr01,CLE,13760000,14720000,15680000,,,,Bird Rights,32350000
Brandon Knight\knighbr03,PHO,13618750,14631250,15643750,,,,,43893750
Marvin Williams\willima02,CHO,13168750,14087500,15006250,,,,Cap Space,27256250
Tyson Chandler\chandty01,PHO,13000000,13585000,,,,,Cap Space,26585000
Michael Kidd-Gilchrist\kiddgmi01,CHO,13000000,13000000,13000000,,,,1st Round Pick,26000000
Eric Gordon\gordoer01,HOU,12943020,13500375,14057730,,,,Cap Space,40501125
Kenneth Faried\farieke01,DEN,12921348,13764045,,,,,1st Round Pick,26685393
Marcin Gortat\gortama01,WAS,12782609,13565218,,,,,Bird Rights,26347827
Cody Zeller\zelleco01,CHO,12584270,13528090,14471910,15415730,,,1st Round Pick,56000000
Miles Plumlee\plumlmi01,ATL,12500000,12500000,12500000,,,,Bird Rights,37500000
Zach Randolph\randoza01,SAC,12307692,11692308,,,,,Cap space,24000000
Nikola Vucevic\vucevni01,ORL,12250000,12750000,,,,,Bird Rights,25000000
Wilson Chandler\chandwi01,DEN,12016854,12800562,,,,,,12016854
Kemba Walker\walkeke02,CHO,12000000,12000000,,,,,1st Round Pick,24000000
Derrick Favors\favorde01,UTA,12000000,,,,,,1st Round Pick,12000000
Jeremy Lin\linje01,BRK,12000000,12516746,,,,,Cap Space,12000000
Austin Rivers\riverau01,LAC,11825000,12650000,,,,,Cap Space,11825000
Courtney Lee\leeco01,NYK,11747890,12253780,12759670,,,,Cap Space,36761340
Solomon Hill\hillso01,NOP,11747073,12252928,12758781,,,,Cap Space,36758782
Nikola Pekovic\pekovni01,MIN,11600000,,,,,,,11600000
Jordan Clarkson\clarkjo01,LAL,11562500,12500000,13437500,,,,Cap Space,37500000
John Henson\hensojo01,MIL,11422536,10577466,9732396,,,,1st Round Pick,31732398
Dion Waiters\waitedi01,MIA,11000000,11550000,12100000,12650000,,,Cap space,47300000
